ID_Prefecture,Nom_Prefecture,Population
1,Cinkassé,128 959
2,Tône,388 775
3,Kpendjal,88 365
4,Kpendjal-Ouest,123 330
5,Oti,124 848
6,Oti-Sud,150 376
7,Tandjoaré,138 867
8,Kéran,128 687
9,Bassar,152 065
10,Dankpen,185 662
11,Kozah,283 738
12,Binah,84 199
13,Doufelgou,84 767
14,Assoli,66 394
15,Tchaoudjo,240 360
16,Sotouboua,138 864
17,Mô,52 448
18,Tchamba,200 585
19,Blitta,163 272
20,Anié,180 158
21,Est-Mono,164 460
22,Moyen-Mono,90 505
23,Agou,85 793
24,Danyi,40 240
25,Akébou,73 830
26,Kpélé,80 939
27,Kloto,145 986
28,Ogou,253 467
29,Amou,114 172
30,Wawa,101 300
31,Haho,305 096
32,Avé,111 214
33,Bas-Mono,94 860
34,Yoto,174 851
35,Vo,224 411
36,Lacs,241 247
37,Zio,500 032
38,Agoè-Nyivé,882 695
39,Golfe,1 305 681
